#OTU ID	Top2	Fine2	Top3	Fine3	Top4	Fine4
OTU_296	0.0	0.0	1.0	1.0	0.0	2.0
OTU_297	3.0	1.0	2.0	5.0	2.0	1.0
OTU_298	6.0	5.0	3.0	0.0	1.0	0.0
OTU_299	3.0	9.0	0.0	0.0	1.0	0.0
OTU_300	0.0	1.0	3.0	1.0	4.0	0.0
OTU_301	1.0	4.0	2.0	0.0	2.0	2.0
OTU_302	41.0	183.0	64.0	155.0	26.0	46.0
OTU_303	2.0	3.0	1.0	0.0	1.0	0.0
OTU_304	4.0	1.0	3.0	4.0	3.0	0.0
OTU_305	0.0	5.0	2.0	3.0	1.0	0.0
OTU_306	3.0	1.0	0.0	1.0	1.0	2.0
OTU_307	0.0	2.0	3.0	0.0	17.0	0.0
OTU_308	12.0	0.0	0.0	1.0	1.0	0.0
OTU_309	0.0	0.0	0.0	0.0	0.0	1.0
OTU_310	0.0	7.0	1.0	6.0	1.0	1.0
OTU_311	0.0	5.0	1.0	0.0	6.0	1.0
OTU_312	5.0	5.0	2.0	1.0	3.0	0.0
OTU_313	0.0	9.0	0.0	0.0	1.0	0.0
OTU_314	0.0	9.0	1.0	2.0	1.0	1.0
OTU_315	0.0	0.0	0.0	1.0	0.0	0.0
OTU_316	10.0	215.0	9.0	5.0	4.0	7.0
OTU_317	0.0	9.0	0.0	1.0	0.0	0.0
OTU_318	0.0	2.0	0.0	1.0	0.0	0.0
OTU_319	0.0	0.0	0.0	0.0	0.0	0.0
OTU_320	1.0	10.0	1.0	0.0	0.0	0.0
OTU_321	1.0	0.0	0.0	4.0	0.0	0.0
OTU_322	0.0	4.0	5.0	0.0	3.0	0.0
OTU_323	0.0	0.0	0.0	0.0	0.0	0.0
OTU_324	0.0	0.0	0.0	0.0	1.0	1.0
OTU_325	16.0	705.0	22.0	98.0	32.0	72.0
OTU_326	0.0	1.0	2.0	2.0	4.0	0.0
OTU_327	16.0	1.0	0.0	0.0	0.0	0.0
OTU_328	0.0	0.0	0.0	1.0	0.0	1.0
OTU_329	14.0	7.0	5.0	4.0	4.0	1.0
OTU_330	0.0	21.0	0.0	7.0	1.0	0.0
OTU_331	0.0	0.0	0.0	0.0	1.0	0.0
OTU_332	4.0	3.0	2.0	2.0	4.0	0.0
OTU_333	1.0	1.0	1.0	1.0	0.0	0.0
OTU_334	0.0	10.0	0.0	0.0	0.0	0.0
OTU_335	0.0	6.0	0.0	3.0	0.0	1.0
OTU_336	0.0	6.0	2.0	4.0	3.0	0.0
OTU_337	0.0	2.0	0.0	8.0	0.0	0.0
OTU_338	10.0	3.0	1.0	0.0	2.0	0.0
OTU_339	1.0	3.0	4.0	0.0	5.0	0.0
OTU_340	1.0	0.0	4.0	3.0	1.0	0.0
OTU_341	2.0	15.0	1.0	2.0	3.0	0.0
OTU_342	1.0	7.0	0.0	1.0	0.0	1.0
OTU_343	0.0	0.0	0.0	0.0	0.0	1.0
OTU_344	0.0	4.0	0.0	0.0	9.0	0.0
OTU_345	0.0	0.0	0.0	0.0	0.0	1.0
OTU_346	0.0	3.0	4.0	3.0	3.0	0.0
